ID,Tube_Size,Flat,Location,Plot,System,ID,wbcw ,Corn_Earworm,ecb,FAW,Looper,Cantharid_L,Sap_Beetle_L,Cattail_L,Dingy_Cutworm_L,L,Sap_Beetle_A,Western_Corn_Rootworm_A,Hemiptera
1,small,1,322-1,322,3,Cattail Caterpiller,0,0,0,0,0,0,0,0,0,1,0,0,0
2,small,1,322-1,322,3,Beetle - nitiduidae,0,0,0,0,0,0,3,0,0,0,3,0,0
3,small,1,322-1,322,3,Looper?,0,0,0,0,1,0,0,0,0,0,0,0,0
4,large,1,322-1,322,3,2 sm larvae sap beetle,0,0,0,0,0,0,2,0,0,0,0,0,0
5,large,1,322-1,322,3,Looper,0,0,0,0,1,0,0,0,0,0,0,0,0
6,small,1,322-2,322,3,CEW,0,1,0,0,0,0,0,0,0,0,0,0,0
7,small,1,322-2,322,3,Beetle - WCR,0,0,0,0,0,0,0,0,0,0,0,1,0
8,small,1,322-3,322,3,Looper,0,0,0,0,0,0,0,0,0,0,0,0,0
9,small,1,322-3,322,3,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
10,small,1,322-3,322,3,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
11,large,1,322-3,322,3,Corn Earworm,0,1,0,0,0,0,0,0,0,0,0,0,0
12,large,1,322-3,322,3,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
13,small,1,322-4,322,3,Beetle - nit,0,0,0,0,0,0,0,0,0,0,1,0,0
14,small,1,322-4,322,3,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
15,small,1,322-4,322,3,Lacewing larva,0,0,0,0,0,0,0,0,0,1,0,0,0
16,small,1,322-4,322,3,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
17,large,1,322-4,322,3,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
18,large,1,322-4,322,3,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
19,large,1,322-4,322,3,31 larval sap beetles,0,0,0,0,0,0,31,0,0,0,0,0,0
20,large,1,322-4,322,3,Lady bug larva,0,0,0,0,0,0,0,0,0,1,0,0,0
21,large,1,322-4,322,3,Beetle ,0,0,0,0,0,0,0,0,0,1,5,0,0
22,large,1,322-4,322,3,WBCW,1,0,0,0,0,0,0,0,0,0,0,0,0
23,small,1,322-5,322,3,Beetle - nit,0,0,0,0,0,0,0,0,0,0,1,0,0
24,small,1,322-5,322,3,Sap beetle larva,0,0,0,0,0,0,1,0,0,0,0,0,0
25,large,1,323-1,323,1,Canth larva,0,0,0,0,0,1,0,0,0,0,0,0,0
