Date,EggMass_number,Visit_num,Plot,Row_num,Location_Plot,Location_Field,Edge,Middle,Leaf_num,Egg_num,Eaten,Nonviable,Hatch,Parasitism ,WBCW ,stink bug bug,ECB,Pest,Entry ,Block,Plot,System,SpringCover,CashCrop,FallCover, Treatment,SoilDisturbance_num,AboveGroundDisturbance_num,SamplingEvent
7/26/2022,3,2,121,3,middle,0,1,0,9,55,0,0,55,0,1,0,0,WBCW,2,1,121,1,Oat/Rea/Radish,Corn,Cereal Rye,Shallow,9,1,2
7/14/2022,4,1,121,3,middle,0,1,0,9,54,35,0,0,0,1,0,0,WBCW,2,1,121,1,Oat/Rea/Radish,Corn,Cereal Rye,Shallow,9,1,2
7/26/2022,5,2,121,3,top,0,1,0,9,132,132,0,0,0,1,0,0,WBCW,2,1,121,1,Oat/Rea/Radish,Corn,Cereal Rye,Shallow,9,1,2
7/26/2022,6,2,121,3,top,0,1,0,9,127,0,0,127,0,1,0,0,WBCW,2,1,121,1,Oat/Rea/Radish,Corn,Cereal Rye,Shallow,9,1,2
8/3/2022,7,3,121,4,top,0,0,1,7,14,0,0,14,0,1,0,0,WBCW,2,1,121,1,Oat/Rea/Radish,Corn,Cereal Rye,Shallow,9,1,2
7/26/2022,8,2,121,5,top,0,0,1,9,114,11,0,103,0,1,0,0,WBCW,2,1,121,1,Oat/Rea/Radish,Corn,Cereal Rye,Shallow,9,1,2
7/26/2022,9,2,121,5,top,0,0,1,8,68,68,0,0,0,1,0,0,WBCW,2,1,121,1,Oat/Rea/Radish,Corn,Cereal Rye,Shallow,9,1,2
7/26/2022,10,2,121,5,middle,0,0,1,7,98,24,0,74,0,1,0,0,WBCW,2,1,121,1,Oat/Rea/Radish,Corn,Cereal Rye,Shallow,9,1,2
7/26/2022,11,2,121,5,bottom,0,0,1,9,147,0,0,147,0,1,0,0,WBCW,2,1,121,1,Oat/Rea/Radish,Corn,Cereal Rye,Shallow,9,1,2
7/26/2022,12,2,121,6,bottom,0,0,1,9,49,0,0,49,0,1,0,0,WBCW,2,1,121,1,Oat/Rea/Radish,Corn,Cereal Rye,Shallow,9,1,2
7/26/2022,13,2,121,9,top,0,0,1,8,38,5,8,13,0,1,0,0,WBCW,2,1,121,1,Oat/Rea/Radish,Corn,Cereal Rye,Shallow,9,1,2
7/26/2022,14,2,121,9,top,0,0,1,10,56,7,0,49,0,1,0,0,WBCW,2,1,121,1,Oat/Rea/Radish,Corn,Cereal Rye,Shallow,9,1,2
7/26/2022,15,2,121,9,middle,0,0,1,8,55,0,0,55,0,1,0,0,WBCW,2,1,121,1,Oat/Rea/Radish,Corn,Cereal Rye,Shallow,9,1,2
7/26/2022,16,2,121,9,middle,0,0,1,9,86,2,0,84,0,1,0,0,WBCW,2,1,121,1,Oat/Rea/Radish,Corn,Cereal Rye,Shallow,9,1,2
7/26/2022,19,2,122,3,top,0,1,0,11,52,0,2,50,0,1,0,0,WBCW,2,1,122,2,Red Clover/ Cereal Rye,Corn,Annual Ryegrass/ Radish/ Crimson Clover,Standard,0,0,1
7/26/2022,20,2,122,3,top,0,1,0,9,38,0,0,38,0,1,0,0,WBCW,2,1,122,2,Red Clover/ Cereal Rye,Corn,Annual Ryegrass/ Radish/ Crimson Clover,Standard,0,0,1
